"CancerType","Pre-Trial Baseline","Months0-5","Months6-11","Months12-17","Months18-23","Months24-29","Months30-35"
"Primary high-detection group","424.8","14.87 (-10.39-40.13), p=.23","11.39 (-6.05-28.84), p=.19","15.93 (-12.10-43.95), p=.25","29.70 (-8.77-68.18), p=.12","40.09 (-2.72-82.90), p=.06","40.76 (-14.18-95.70), p=.14"
"   Head & neck","190.8","11.04 (-1.44-23.51), p=.08","14.39 (6.37-22.42), p=.001","12.40 (0.01-24.79), p=.05","18.50 (2.06-34.93), p=.03","22.99 (5.49-40.49), p=.01","22.65 (-4.82-50.12), p=.10"
"   Lung","47.0","-1.81 (-6.93-3.32), p=.47","0.01 (-5.72-5.75), p=1.00","0.07 (-9.84-9.97), p=.99","5.42 (-8.54-19.38), p=.43","6.93 (-10.48-24.35), p=.42","5.81 (-15.12-26.74), p=.57"
"   Upper gastrointestinal","187.0","5.66 (-11.16-22.49), p=.49","-2.94 (-15.18-9.31), p=.62","3.51 (-12.65-19.67), p=.66","5.90 (-12.35-24.16), p=.51","10.22 (-13.44-33.87), p=.38","12.11 (-9.97-34.19), p=.27"
"Secondary expanded high-detection group","1196.2","47.11 (-37.28-131.51), p=.26","85.28 (-1.64-172.21), p=.05","62.89 (-60.28-186.06), p=.30","105.10 (-25.04-235.25), p=.11","119.67 (-13.75-253.10), p=.08","94.08 (-57.01-245.16), p=.21"
"   Gynaecological cancer","201.0","5.50 (-10.66-21.65), p=.49","7.44 (-13.11-27.99), p=.46","4.67 (-18.65-27.99), p=.68","18.22 (-10.58-47.02), p=.20","27.69 (-0.09-55.46), p=.05","28.32 (4.46-52.18), p=.02"
"   Haematological malignancies (excluding acute leukaemia)","17.2","3.39 (0.93-5.84), p=.009","2.94 (1.05-4.82), p=.004","1.92 (-1.28-5.13), p=.23","3.66 (-0.06-7.38), p=.05","3.24 (0.68-5.79), p=.02","2.34 (-0.76-5.45), p=.13"
"   Lower gastrointestinal","396.0","12.20 (-36.07-60.48), p=.60","45.89 (-10.96-102.75), p=.11","34.08 (-37.34-105.50), p=.33","29.26 (-36.56-95.09), p=.36","3.36 (-60.88-67.60), p=.91","-8.82 (-78.89-61.26), p=.80"
"   Urological malignancies (excluding testicular)","157.3","11.20 (2.10-20.30), p=.02","17.73 (-0.63-36.09), p=.06","6.39 (-15.85-28.63), p=.56","23.85 (-0.35-48.04), p=.05","44.64 (8.86-80.41), p=.02","31.11 (1.44-60.77), p=.04"
"Secondary low-detection group","901.0","48.83 (14.62-83.03), p=.007","50.06 (-12.30-112.41), p=.11","53.27 (-6.46-112.99), p=.08","49.99 (-33.64-133.61), p=.23","56.92 (-37.87-151.72), p=.22","30.93 (-65.48-127.33), p=.51"
"   Acute leukaemia","0.4","0.18 (-0.27-0.62), p=.41","-0.10 (-0.37-0.17), p=.47","-0.17 (-0.58-0.23), p=.39","-0.17 (-0.70-0.36), p=.50","-0.17 (-0.65-0.30), p=.46","-0.33 (-0.77-0.11), p=.13"
"   Brain/central nervous system tumours","7.5","0.97 (-0.40-2.33), p=.16","1.74 (-0.44-3.91), p=.11","2.21 (-1.27-5.69), p=.20","0.03 (-2.25-2.31), p=.98","1.51 (-3.40-6.42), p=.53","1.20 (-4.10-6.49), p=.64"
"   Breast","436.9","17.70 (-13.77-49.18), p=.25","10.48 (-28.37-49.33), p=.58","27.66 (-19.25-74.56), p=.23","15.22 (-31.37-61.82), p=.50","31.03 (-25.75-87.80), p=.27","7.99 (-29.03-45.01), p=.66"
"   Sarcoma","7.4","-0.40 (-2.35-1.55), p=.67","0.96 (-1.52-3.44), p=.43","2.33 (-5.22-9.88), p=.53","-1.24 (-11.91-9.43), p=.81","-0.67 (-9.43-8.08), p=.87","1.25 (-6.60-9.09), p=.74"
"   Skin","438.9","28.47 (3.29-53.64), p=.03","32.23 (-10.81-75.28), p=.13","17.18 (-20.48-54.83), p=.35","30.58 (-30.03-91.19), p=.31","19.54 (-50.73-89.81), p=.57","16.00 (-73.29-105.28), p=.71"
"   Testicular","8.7","0.18 (-1.29-1.65), p=.80","0.49 (-1.67-2.65), p=.64","0.07 (-1.63-1.77), p=.93","1.03 (-1.26-3.32), p=.36","2.08 (0.63-3.54), p=.007","2.37 (0.02-4.73), p=.05"
"   Other","1.9","2.12 (-1.20-5.43), p=.20","5.45 (-0.85-11.74), p=.09","4.87 (-2.57-12.31), p=.19","4.46 (-1.69-10.62), p=.15","4.16 (-1.28-9.60), p=.13","2.64 (-1.85-7.14), p=.23"
